old_filename,new_filename,product_id,source_name_ua,product_link
53497941871754 (1).webp,adaferin-adapalene-gel-galderma-acne-15g.webp,784,Адапален гель - Adapalene Galderma 15 г,http://kirkland.in.ua/adaferin15-ua
adapalen-adapalen-hel-vid-akne-adaferin-30-h-galderma-hretsiia-20938382881392 (2).webp,adapalene-gel-0-1-acne-wrinkles.webp,783,"Гель Adapalene (Адапален, Дифферин) від прищів та зморшок 0.1%",http://kirkland.in.ua/adaferin-ua
advantan-maz-pry-dermatyti-ekzema-60565271948083.webp,advantan-ointment-methylprednisolone-aceponate-0-1-dermatitis-30g-2.webp,175,"Advantan мазь 0,1% (метилпреднізолону ацепонат) 30 г",http://kirkland.in.ua/advantan-maz-ua
34.jpg,advantan-ointment-methylprednisolone-aceponate-0-1-dermatitis-30g.jpg,175,"Advantan мазь 0,1% (метилпреднізолону ацепонат) 30 г",http://kirkland.in.ua/advantan-maz-ua
130.jpg,airy-easy-glossy-foam-hair-styling-wet-look.jpg,1428,AE Airy & Easy Glossy Foam — пінка для укладки з ефектом wet hair,http://kirkland.in.ua/ae-airy-easy-glossy-foam-wet-hair
132.jpg,airy-easy-glossy-gel-hair-styling-wet-look-2.jpg,1426,ARY & EASY Glossy Gel — глянцевий гель для волосся з ефектом wet hair,http://kirkland.in.ua/airy-easy-glossy-gel-wet-hair
129.jpg,airy-easy-glossy-gel-hair-styling-wet-look.jpg,1426,ARY & EASY Glossy Gel — глянцевий гель для волосся з ефектом wet hair,http://kirkland.in.ua/airy-easy-glossy-gel-wet-hair
131.jpg,airy-easy-glossy-wax-hair-styling-wet-look.jpg,1424,Airy & Easy Glossy Wax — глянцевий віск для укладки волосся з ефектом Wet Hair,http://kirkland.in.ua/airy-easy-glossy-wax-wet-hair
209.jpg,airy-easy-melty-repair-honey-shampoo-moisturizing-2.jpg,1387,Зволожувальний медовий шампунь Airy & Easy Melty-Repair Shampoo,http://kirkland.in.ua/airy-easy-melty-repair-shampoo-kupiti-ukraina
210.jpg,airy-easy-melty-repair-honey-shampoo-moisturizing-3.jpg,1387,Зволожувальний медовий шампунь Airy & Easy Melty-Repair Shampoo,http://kirkland.in.ua/airy-easy-melty-repair-shampoo-kupiti-ukraina
187.jpg,airy-easy-melty-repair-honey-shampoo-moisturizing.jpg,1387,Зволожувальний медовий шампунь Airy & Easy Melty-Repair Shampoo,http://kirkland.in.ua/airy-easy-melty-repair-shampoo-kupiti-ukraina
212.jpg,airy-easy-melty-repair-treatment-damaged-hair-2.jpg,1388,Відновлювальний кондиціонер Airy & Easy Melty-Repair Treatmen,http://kirkland.in.ua/airy-easy-melty-repair-treatment-konditsioner
211.jpg,airy-easy-melty-repair-treatment-damaged-hair.jpg,1388,Відновлювальний кондиціонер Airy & Easy Melty-Repair Treatmen,http://kirkland.in.ua/airy-easy-melty-repair-treatment-konditsioner
128.jpg,airy-easy-prism-hair-gelee-styling-wet-look-100g.jpg,1427,"Airy & Easy Prism Hair Gelee — глянцеве желе для волосся з ефектом wet hair, 100 г",http://kirkland.in.ua/airy-easy-prism-hair-gelee-100g
213.jpg,airy-easy-souffle-hair-balm-glossy-finish-50g.jpg,1430,"Airy & Easy Souffle Hair Balm — суфле-бальзам для волосся з глянцевим фінішем, 50 г",http://kirkland.in.ua/airy-easy-souffle-hair-balm-50g
1513-1000x1000 (1).png,aklief-cream-trifarotene-0-005-acne-30g-2.png,1513,"Aklief Trifarotene 50 крем від акне з трифаротеном 0.005% Акліф, 30 г",http://kirkland.in.ua/aklief-trifarotene-50mcg-cream-30g-ua
1513-1000x1000.png,aklief-cream-trifarotene-0-005-acne-30g.png,1513,"Aklief Trifarotene 50 крем від акне з трифаротеном 0.005% Акліф, 30 г",http://kirkland.in.ua/aklief-trifarotene-50mcg-cream-30g-ua
16.jpg,aknetrent-isotretinoin-10mg-capsules-severe-acne-2.jpg,317,Акнетрент турецький Роак-кутан з ізо-трети-ноін Aknetrent 10мг,http://kirkland.in.ua/aknetrent-10
33.jpg,aknetrent-isotretinoin-10mg-capsules-severe-acne-3.jpg,317,Акнетрент турецький Роак-кутан з ізо-трети-ноін Aknetrent 10мг,http://kirkland.in.ua/aknetrent-10
